,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688778.SH,20230303,77.8,78.32,77.05,77.83,77.6,0.23,0.2964,9332.63,72447.704
1,688778.SH,20230302,78.93,79.28,77.36,77.6,78.9,-1.3,-1.6477,16207.59,126432.967
2,688778.SH,20230301,78.3,79.13,78.11,78.9,78.35,0.55,0.702,9359.93,73624.365
3,688778.SH,20230228,78.72,78.88,77.59,78.35,78.05,0.3,0.3844,9229.31,72156.642
4,688778.SH,20230227,78.17,78.75,77.8,78.05,78.6,-0.55,-0.6997,10949.82,85630.287
5,688778.SH,20230224,79.78,80.15,78.31,78.6,79.7,-1.1,-1.3802,15140.45,119479.96
6,688778.SH,20230223,79.18,80.18,78.85,79.7,79.05,0.65,0.8223,12489.84,99440.952
7,688778.SH,20230222,79.01,79.55,78.89,79.05,79.7,-0.65,-0.8156,11773.17,93153.306
8,688778.SH,20230221,79.02,80.4,78.58,79.7,79.02,0.68,0.8605,21184.56,168701.612
9,688778.SH,20230220,78.3,79.02,77.31,79.02,78.93,0.09,0.114,20452.57,159625.164
10,688778.SH,20230217,80.38,80.57,78.8,78.93,80.29,-1.36,-1.6939,21859.49,173703.937
11,688778.SH,20230216,82.64,83.37,79.5,80.29,82.66,-2.37,-2.8672,31300.63,255133.675
12,688778.SH,20230215,84.38,84.96,82.5,82.66,84.3,-1.64,-1.9454,27547.95,229721.66
13,688778.SH,20230214,85.25,85.39,83.83,84.3,85.11,-0.81,-0.9517,18982.23,160093.107
14,688778.SH,20230213,85.16,85.66,84.41,85.11,85.16,-0.05,-0.0587,20024.92,169987.984
15,688778.SH,20230210,85.99,86.28,84.6,85.16,85.94,-0.78,-0.9076,18525.73,158058.533
16,688778.SH,20230209,84.76,86.5,83.77,85.94,84.23,1.71,2.0302,24461.62,209244.826
17,688778.SH,20230208,85.68,85.9,84.18,84.23,85.43,-1.2,-1.4047,20010.85,170136.341
18,688778.SH,20230207,85.27,85.69,84.5,85.43,85.2,0.23,0.27,16448.11,139644.642
19,688778.SH,20230206,85.6,86.3,84.18,85.2,86.03,-0.83,-0.9648,25256.07,214840.734
20,688778.SH,20230203,89.07,89.07,85.2,86.03,89.1,-3.07,-3.4456,35378.44,305834.139
21,688778.SH,20230202,90.84,91.2,88.7,89.1,90.84,-1.74,-1.9155,28213.03,251649.058
22,688778.SH,20230201,87.7,90.88,87.7,90.84,87.39,3.45,3.9478,31113.87,278857.313
23,688778.SH,20230131,87.23,88.74,87.23,87.39,88.21,-0.82,-0.9296,17084.6,150011.97
24,688778.SH,20230130,90.58,92.8,87.8,88.21,88.8,-0.59,-0.6644,42792.98,382679.019
25,688778.SH,20230120,85.19,89.48,85.03,88.8,85.1,3.7,4.3478,30029.19,262653.716
26,688778.SH,20230119,85.1,85.91,84.55,85.1,85.75,-0.65,-0.758,15844.94,134560.165
27,688778.SH,20230118,85.1,87.3,84.76,85.75,84.79,0.96,1.1322,18532.21,159366.759
28,688778.SH,20230117,85.45,85.98,84.18,84.79,84.83,-0.04,-0.0472,15023.46,127674.571
29,688778.SH,20230116,83.0,85.63,82.6,84.83,83.35,1.48,1.7756,16384.96,138316.441
30,688778.SH,20230113,84.39,86.48,82.35,83.35,84.63,-1.28,-1.5125,20643.61,172901.289
31,688778.SH,20230112,83.1,86.86,83.01,84.63,83.15,1.48,1.7799,20999.38,179295.834
32,688778.SH,20230111,84.73,86.38,82.88,83.15,84.8,-1.65,-1.9458,23282.94,197471.016
33,688778.SH,20230110,83.41,85.88,82.38,84.8,83.53,1.27,1.5204,21406.93,179848.395
34,688778.SH,20230109,83.19,85.29,83.19,83.53,83.42,0.11,0.1319,19227.71,161777.828
35,688778.SH,20230106,82.12,84.46,81.5,83.42,82.78,0.64,0.7731,34486.76,286945.668
36,688778.SH,20230105,78.8,82.79,77.73,82.78,77.9,4.88,6.2644,35747.46,288588.085
37,688778.SH,20230104,79.37,79.96,77.27,77.9,79.42,-1.52,-1.9139,15637.3,122004.927
38,688778.SH,20230103,77.75,79.9,76.2,79.42,77.68,1.74,2.24,16281.28,127103.772
39,688778.SH,20221230,78.94,80.29,77.57,77.68,78.57,-0.89,-1.1327,11575.31,90902.469
40,688778.SH,20221229,78.4,80.5,78.4,78.57,79.22,-0.65,-0.8205,10930.3,86556.988
41,688778.SH,20221228,80.13,80.79,78.27,79.22,80.31,-1.09,-1.3572,14726.05,116945.201
42,688778.SH,20221227,79.22,80.57,78.73,80.31,79.95,0.36,0.4503,16657.72,132832.735
43,688778.SH,20221226,76.09,80.34,75.28,79.95,76.25,3.7,4.8525,24157.71,189590.001
