,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601678.SH,20230303,5.57,5.65,5.55,5.65,5.57,0.08,1.4363,187526.9,105458.954
1,601678.SH,20230302,5.63,5.63,5.56,5.57,5.61,-0.04,-0.713,180098.14,100748.947
2,601678.SH,20230301,5.55,5.61,5.53,5.61,5.57,0.04,0.7181,142359.75,79606.713
3,601678.SH,20230228,5.57,5.59,5.5,5.57,5.57,0.0,0.0,133882.89,74142.588
4,601678.SH,20230227,5.55,5.63,5.51,5.57,5.57,0.0,0.0,131252.21,73105.61
5,601678.SH,20230224,5.62,5.62,5.53,5.57,5.62,-0.05,-0.8897,117356.13,65246.006
6,601678.SH,20230223,5.64,5.67,5.55,5.62,5.64,-0.02,-0.3546,141348.14,79194.468
7,601678.SH,20230222,5.65,5.68,5.61,5.64,5.68,-0.04,-0.7042,126021.1,71140.812
8,601678.SH,20230221,5.61,5.74,5.59,5.68,5.61,0.07,1.2478,256128.38,145441.057
9,601678.SH,20230220,5.51,5.62,5.51,5.61,5.54,0.07,1.2635,168751.0,94071.415
10,601678.SH,20230217,5.51,5.61,5.48,5.54,5.49,0.05,0.9107,196609.3,109075.527
11,601678.SH,20230216,5.64,5.68,5.45,5.49,5.63,-0.14,-2.4867,259310.11,144576.696
12,601678.SH,20230215,5.66,5.69,5.6,5.63,5.66,-0.03,-0.53,191008.04,107721.388
13,601678.SH,20230214,5.59,5.67,5.58,5.66,5.58,0.08,1.4337,181099.01,102215.868
14,601678.SH,20230213,5.54,5.59,5.52,5.58,5.54,0.04,0.722,126715.23,70482.117
15,601678.SH,20230210,5.58,5.6,5.5,5.54,5.59,-0.05,-0.8945,165922.84,92027.145
16,601678.SH,20230209,5.45,5.59,5.43,5.59,5.44,0.15,2.7574,263832.87,146293.106
17,601678.SH,20230208,5.47,5.48,5.43,5.44,5.47,-0.03,-0.5484,112357.14,61281.701
18,601678.SH,20230207,5.45,5.47,5.42,5.47,5.43,0.04,0.7366,115451.17,62806.733
19,601678.SH,20230206,5.42,5.47,5.4,5.43,5.47,-0.04,-0.7313,107869.59,58577.975
20,601678.SH,20230203,5.51,5.52,5.4,5.47,5.52,-0.05,-0.9058,176995.03,96388.301
21,601678.SH,20230202,5.53,5.54,5.49,5.52,5.51,0.01,0.1815,133365.52,73576.234
22,601678.SH,20230201,5.45,5.52,5.44,5.51,5.44,0.07,1.2868,179295.19,98368.181
23,601678.SH,20230131,5.39,5.45,5.39,5.44,5.41,0.03,0.5545,133913.97,72658.86
24,601678.SH,20230130,5.46,5.5,5.41,5.41,5.42,-0.01,-0.1845,181883.58,99265.341
25,601678.SH,20230120,5.35,5.43,5.33,5.42,5.35,0.07,1.3084,140188.58,75697.322
26,601678.SH,20230119,5.32,5.36,5.3,5.35,5.32,0.03,0.5639,90108.45,48062.282
27,601678.SH,20230118,5.32,5.34,5.29,5.32,5.3,0.02,0.3774,78415.94,41704.585
28,601678.SH,20230117,5.26,5.3,5.26,5.3,5.26,0.04,0.7605,75836.9,40091.2
29,601678.SH,20230116,5.21,5.29,5.19,5.26,5.22,0.04,0.7663,115835.07,60932.405
30,601678.SH,20230113,5.21,5.24,5.18,5.22,5.18,0.04,0.7722,69679.34,36283.413
31,601678.SH,20230112,5.25,5.26,5.16,5.18,5.24,-0.06,-1.145,139347.98,72502.765
32,601678.SH,20230111,5.26,5.28,5.23,5.24,5.24,0.0,0.0,68754.33,36117.657
33,601678.SH,20230110,5.27,5.29,5.24,5.24,5.26,-0.02,-0.3802,69630.78,36576.793
34,601678.SH,20230109,5.28,5.32,5.26,5.26,5.27,-0.01,-0.1898,100293.14,53009.803
35,601678.SH,20230106,5.27,5.3,5.25,5.27,5.26,0.01,0.1901,95334.83,50300.419
36,601678.SH,20230105,5.24,5.29,5.23,5.26,5.23,0.03,0.5736,82435.15,43450.907
37,601678.SH,20230104,5.2,5.25,5.19,5.23,5.21,0.02,0.3839,88581.78,46310.329
38,601678.SH,20230103,5.14,5.24,5.11,5.21,5.14,0.07,1.3619,101251.13,52546.453
39,601678.SH,20221230,5.15,5.16,5.12,5.14,5.13,0.01,0.1949,55417.63,28492.222
40,601678.SH,20221229,5.13,5.17,5.12,5.13,5.17,-0.04,-0.7737,95461.68,49080.164
41,601678.SH,20221228,5.24,5.24,5.15,5.17,5.24,-0.07,-1.3359,86302.73,44720.232
42,601678.SH,20221227,5.23,5.25,5.21,5.24,5.23,0.01,0.1912,78492.8,41066.586
