,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600338.SH,20230303,25.33,25.96,25.11,25.57,25.4,0.17,0.6693,168848.91,429483.237
1,600338.SH,20230302,25.49,25.65,25.35,25.4,25.53,-0.13,-0.5092,128100.38,326506.838
2,600338.SH,20230301,26.11,26.11,25.48,25.53,26.11,-0.58,-2.2214,190850.45,489470.468
3,600338.SH,20230228,25.87,26.34,25.75,26.11,25.95,0.16,0.6166,179345.64,466485.478
4,600338.SH,20230227,26.59,26.59,25.8,25.95,26.62,-0.67,-2.5169,260085.09,679181.237
5,600338.SH,20230224,25.62,26.84,25.51,26.62,25.74,0.88,3.4188,544837.09,1435205.543
6,600338.SH,20230223,24.5,26.0,24.38,25.74,24.52,1.22,4.9755,332789.89,840696.419
7,600338.SH,20230222,24.4,24.7,24.33,24.52,24.65,-0.13,-0.5274,81401.91,199402.87
8,600338.SH,20230221,24.47,24.85,24.29,24.65,24.47,0.18,0.7356,130710.04,321296.166
9,600338.SH,20230220,24.2,24.55,23.35,24.47,24.43,0.04,0.1637,217729.17,521001.966
10,600338.SH,20230217,24.55,24.7,24.27,24.43,24.5,-0.07,-0.2857,125058.98,306437.847
11,600338.SH,20230216,24.91,25.2,24.2,24.5,24.95,-0.45,-1.8036,196759.42,487732.556
12,600338.SH,20230215,25.6,25.65,24.77,24.95,25.57,-0.62,-2.4247,209947.9,526931.684
13,600338.SH,20230214,25.6,25.8,25.27,25.57,25.58,-0.01,-0.0391,151199.87,385364.528
14,600338.SH,20230213,25.7,26.1,25.47,25.58,25.8,-0.22,-0.8527,198147.79,509865.649
15,600338.SH,20230210,26.0,26.67,25.77,25.8,26.01,-0.21,-0.8074,336375.31,877590.223
16,600338.SH,20230209,24.6,26.18,24.46,26.01,24.74,1.27,5.1334,385604.06,976672.491
17,600338.SH,20230208,25.22,25.39,24.7,24.74,25.36,-0.62,-2.4448,255136.83,636518.415
18,600338.SH,20230207,25.36,25.58,25.2,25.36,25.6,-0.24,-0.9375,188097.0,476982.029
19,600338.SH,20230206,24.92,25.7,24.84,25.6,25.3,0.3,1.1858,375166.71,949722.646
20,600338.SH,20230203,24.2,25.6,23.6,25.3,24.2,1.1,4.5455,414892.52,1022406.84
21,600338.SH,20230202,24.45,24.5,24.12,24.2,24.57,-0.37,-1.5059,188836.88,458198.256
22,600338.SH,20230201,24.3,24.65,24.17,24.57,24.15,0.42,1.7391,239750.03,587081.16
23,600338.SH,20230131,23.91,24.23,23.85,24.15,24.12,0.03,0.1244,171443.63,411913.734
24,600338.SH,20230130,24.7,24.97,24.04,24.12,24.15,-0.03,-0.1242,326496.09,800341.874
25,600338.SH,20230120,23.46,24.36,23.41,24.15,23.46,0.69,2.9412,255129.51,611397.816
26,600338.SH,20230119,23.43,23.73,23.15,23.46,23.37,0.09,0.3851,140516.88,329100.891
27,600338.SH,20230118,23.57,23.72,23.32,23.37,23.56,-0.19,-0.8065,137141.06,321663.266
28,600338.SH,20230117,23.51,23.78,23.32,23.56,23.6,-0.04,-0.1695,125953.76,296131.398
29,600338.SH,20230116,22.79,23.91,22.7,23.6,22.79,0.81,3.5542,290498.94,683218.706
30,600338.SH,20230113,22.93,23.3,22.57,22.79,22.8,-0.01,-0.0439,127571.84,291778.734
31,600338.SH,20230112,22.5,23.23,22.5,22.8,22.35,0.45,2.0134,174927.41,400016.11
32,600338.SH,20230111,22.77,22.97,22.35,22.35,22.82,-0.47,-2.0596,150937.68,342214.872
33,600338.SH,20230110,23.03,23.06,22.55,22.82,23.06,-0.24,-1.0408,149587.12,341110.513
34,600338.SH,20230109,23.07,23.25,22.9,23.06,22.99,0.07,0.3045,185056.0,426685.422
35,600338.SH,20230106,22.77,23.27,22.71,22.99,22.9,0.09,0.393,171156.2,394228.041
36,600338.SH,20230105,22.65,23.26,22.55,22.9,22.59,0.31,1.3723,160477.54,368578.287
37,600338.SH,20230104,22.78,22.96,22.48,22.59,23.06,-0.47,-2.0382,133084.62,302108.89
38,600338.SH,20230103,22.68,23.14,22.41,23.06,22.92,0.14,0.6108,148426.85,338873.934
39,600338.SH,20221230,23.3,23.39,22.71,22.92,23.2,-0.28,-1.2069,142030.85,325976.448
40,600338.SH,20221229,23.5,23.99,23.2,23.2,23.61,-0.41,-1.7366,140347.71,329751.857
41,600338.SH,20221228,23.77,23.99,23.26,23.61,24.08,-0.47,-1.9518,167264.29,394335.224
42,600338.SH,20221227,24.28,24.4,23.78,24.08,24.25,-0.17,-0.701,173573.45,417928.329
43,600338.SH,20221226,23.72,24.34,23.51,24.25,23.75,0.5,2.1053,217416.83,522412.822
44,600338.SH,20221223,22.8,24.39,22.48,23.75,23.05,0.7,3.0369,270060.95,637890.827
45,600338.SH,20221222,23.91,24.17,22.94,23.05,23.9,-0.85,-3.5565,201812.71,474697.414
46,600338.SH,20221221,22.85,24.67,22.6,23.9,22.85,1.05,4.5952,339044.64,810764.771
47,600338.SH,20221220,23.0,23.09,22.4,22.85,23.28,-0.43,-1.8471,146676.22,333619.621
48,600338.SH,20221219,22.99,24.11,22.85,23.28,23.17,0.11,0.4748,206309.9,485992.002
49,600338.SH,20221216,23.9,23.97,23.1,23.17,24.31,-1.14,-4.6894,226325.59,530250.387
50,600338.SH,20221215,24.5,24.64,23.71,24.31,24.64,-0.33,-1.3393,252540.31,607289.881
51,600338.SH,20221214,24.0,25.17,23.99,24.64,24.25,0.39,1.6082,361970.6,895123.319
52,600338.SH,20221213,23.12,24.5,23.01,24.25,23.15,1.1,4.7516,412646.87,982393.345
53,600338.SH,20221212,23.4,23.85,23.09,23.15,23.89,-0.74,-3.0975,339094.17,791627.74
54,600338.SH,20221209,22.15,24.5,22.15,23.89,22.27,1.62,7.2744,588026.22,1401844.378
55,600338.SH,20221208,22.75,22.97,22.25,22.27,22.88,-0.61,-2.6661,193331.42,434710.329
56,600338.SH,20221207,22.6,23.32,22.6,22.88,22.79,0.09,0.3949,195499.06,450105.405
57,600338.SH,20221206,22.72,23.15,22.2,22.79,22.88,-0.09,-0.3934,196228.44,444989.359
58,600338.SH,20221205,22.71,22.91,22.52,22.88,22.7,0.18,0.793,148092.18,336903.816
